Group Count,Resource Group,Resource,Action Name,Url,Action Method
1,Request queues,Batch request operations,Add requests,"/v2/request-queues/{queueId}/requests/batch{?forefront,token,clientKey}",POST
1,Request queues,Batch request operations,Delete requests,"/v2/request-queues/{queueId}/requests/batch{?forefront,token,clientKey}",DELETE
1,Webhooks,Webhook collection,Get list of webhooks,"/v2/webhooks{?token,limit,offset,desc}",GET
1,Webhooks,Webhook collection,Create webhook,"/v2/webhooks{?token,limit,offset,desc}",POST
1,Webhooks,Webhook object,Get webhook,"/v2/webhooks/{webhookId}{?token}",GET
1,Webhooks,Webhook object,Update webhook,"/v2/webhooks/{webhookId}{?token}",PUT
1,Webhooks,Webhook object,Delete webhook,"/v2/webhooks/{webhookId}{?token}",DELETE
1,Webhooks,Webhook test,Test webhook,"/v2/webhooks/{webhookId}/test{?token}",POST
1,Webhooks,Dispatches collection,Get collection,"/v2/webhooks/{webhookId}/dispatches{?token}",GET
1,Webhook dispatches,Webhook dispatches collection,Get list of webhook dispatches,"/v2/webhook-dispatches{?token,limit,offset,desc}",GET
1,Webhook dispatches,Webhook dispatch object,Get webhook dispatch,"/v2/webhook-dispatches/{dispatchId}{?token}",GET
1,Schedules,Schedules collection,Get list of schedules,"/v2/schedules{?token,limit,offset,desc}",GET
1,Schedules,Schedules collection,Create schedule,"/v2/schedules{?token,limit,offset,desc}",POST
1,Schedules,Schedule object,Get schedule,"/v2/schedules/{scheduleId}{?token}",GET
1,Schedules,Schedule object,Update schedule,"/v2/schedules/{scheduleId}{?token}",PUT
1,Schedules,Schedule object,Delete schedule,"/v2/schedules/{scheduleId}{?token}",DELETE
1,Schedules,Schedule log,Get schedule log,"/v2/schedules/{scheduleId}/log{?token}",GET
1,Store,Store Actors collection,Get list of Actors in store,"/v2/store{?limit,offset,search,sortBy,category,username,pricingModel}",GET
1,Logs,Log,Get log,"/v2/logs/{buildOrRunId}{?stream,download}",GET
1,Users,Public data,Get public user data,"/v2/users/{userId}",GET
1,Users,Private data,Get private user data,"/v2/users/me{?token}",GET
1,Users,Monthly usage,Get monthly usage,"/v2/users/me/usage/monthly{?token,date}",GET
1,Users,Account and usage limits,Get limits,"/v2/users/me/limits{?token}",GET
