API reference URL,JS method docs,Python method docs
https://docs.apify.com/api/v2#/reference/actor-builds/build-collection,https://docs.apify.com/api/client/js/reference/class/ApifyClient#builds,#N/A
https://docs.apify.com/api/v2#/reference/datasets/dataset,https://docs.apify.com/api/client/js/reference/class/ApifyClient#dataset,#N/A
https://docs.apify.com/api/v2#/reference/datasets/dataset-collection,https://docs.apify.com/api/client/js/reference/class/ApifyClient#datasets,#N/A
https://docs.apify.com/api/v2#/reference/key-value-stores/store-object,https://docs.apify.com/api/client/js/reference/class/ApifyClient#keyValueStore,#N/A
https://docs.apify.com/api/v2#/reference/key-value-stores/store-collection,https://docs.apify.com/api/client/js/reference/class/ApifyClient#keyValueStores,#N/A
https://docs.apify.com/api/v2#/reference/logs,https://docs.apify.com/api/client/js/reference/class/ApifyClient#log,#N/A
https://docs.apify.com/api/v2#/reference/request-queues/queue,https://docs.apify.com/api/client/js/reference/class/ApifyClient#requestQueue,#N/A
https://docs.apify.com/api/v2#/reference/request-queues/queue-collection,https://docs.apify.com/api/client/js/reference/class/ApifyClient#requestQueues,#N/A
https://docs.apify.com/api/v2#/reference/actor-runs/run-object-and-its-storages,https://docs.apify.com/api/client/js/reference/class/ApifyClient#run,#N/A
https://docs.apify.com/api/v2#/reference/actor-runs/run-collection,https://docs.apify.com/api/client/js/reference/class/ApifyClient#runs,#N/A
https://docs.apify.com/api/v2#/reference/schedules/schedule-object,https://docs.apify.com/api/client/js/reference/class/ApifyClient#schedule,#N/A
https://docs.apify.com/api/v2#/reference/schedules/schedules-collection,https://docs.apify.com/api/client/js/reference/class/ApifyClient#schedules,#N/A
https://docs.apify.com/api/v2/#/reference/store,https://docs.apify.com/api/client/js/reference/class/ApifyClient#store,#N/A
https://docs.apify.com/api/v2#/reference/actor-tasks/task-object,https://docs.apify.com/api/client/js/reference/class/ApifyClient#task,#N/A
https://docs.apify.com/api/v2#/reference/actor-tasks/task-collection,https://docs.apify.com/api/client/js/reference/class/ApifyClient#tasks,#N/A
https://docs.apify.com/api/v2#/reference/users,https://docs.apify.com/api/client/js/reference/class/ApifyClient#user,https://docs.apify.com/api/client/python/reference/class/UserClient#get
https://docs.apify.com/api/v2#/reference/webhooks/webhook-object,https://docs.apify.com/api/client/js/reference/class/ApifyClient#webhook,#N/A
https://docs.apify.com/api/v2#/reference/webhook-dispatches/webhook-dispatch-object,https://docs.apify.com/api/client/js/reference/class/ApifyClient#webhookDispatch,#N/A
https://docs.apify.com/api/v2#/reference/webhook-dispatches,https://docs.apify.com/api/client/js/reference/class/ApifyClient#webhookDispatches,#N/A
https://docs.apify.com/api/v2#/reference/webhooks/webhook-collection,https://docs.apify.com/api/client/js/reference/class/ApifyClient#webhooks,#N/A
https://docs.apify.com/api/v2#/reference/actor-builds/abort-build/abort-build,https://docs.apify.com/api/client/js/reference/class/BuildClient#abort,https://docs.apify.com/api/client/python/reference/class/BuildClient#abort
https://docs.apify.com/api/v2#/reference/actor-builds/delete-build/delete-build,https://docs.apify.com/api/client/js/reference/class/BuildClient#delete,#N/A
https://docs.apify.com/api/v2#/reference/actor-builds/build-object/get-build,https://docs.apify.com/api/client/js/reference/class/BuildClient#get,https://docs.apify.com/api/client/python/reference/class/BuildClient#get
https://docs.apify.com/api/v2#/reference/actor-builds/build-log,https://docs.apify.com/api/client/js/reference/class/BuildClient#log,#N/A
